channel_identifier,genre,subscriber_count,total_views,video_count,channel_age_days,collected_video_count,avg_upload_interval_days,std_upload_interval_days,max_gap_days,hiatus_count_30d,avg_view_count,std_view_count,avg_like_count,avg_comment_count,avg_normal_view,regularity_score,cv,outlier_ratio,gap_ratio,sensitive_score,n_sensitive_videos,sensitive_video_ratio,cat_politics,cat_hate,cat_aggro,cat_adult_illegal,is_churned
CH04395,가수+댄스+음악,170000,45350000,497,5288,50,18.14,22.83,85.0,10,3145.32,2088.88,88.04,5.36,3277.61,0.6365,1.258,0.1224,4.69,0.0,0,0.0,0,0,0,0,0
CH04396,(미분류),170000,75530000,1677,7128,50,4.43,17.03,89.0,3,15435.16,27789.38,310.98,32.28,17268.93,0.3848,3.845,0.0612,20.1,0.0,0,0.0,0,0,0,0,0
CH04399,미용+패션,170000,48340000,247,3898,50,14.96,21.69,95.0,7,123567.14,296736.11,1615.68,120.62,77813.32,0.5778,1.45,0.102,6.35,0.0267,2,0.04,0,0,2,0,1
CH04400,강의+교육,170000,56590000,2107,4149,50,2.53,1.86,8.0,0,38169.5,165170.76,0.0,25.12,34305.0,0.7711,0.736,0.0408,3.16,0.0,0,0.0,0,0,0,0,0
CH04401,미용+패션,170000,38740000,466,4521,50,9.12,6.28,29.0,0,31974.56,43370.5,317.46,37.5,33627.52,0.7603,0.689,0.102,3.18,0.0,0,0.0,0,0,0,0,0
CH04402,(미분류),170000,5980000,278,4449,50,2.2,4.27,25.0,0,32260.46,175679.92,561.76,13.86,1187.75,0.4519,1.936,0.0612,11.34,0.1,7,0.14,4,0,4,0,0
CH04403,TV+방송,170000,34190000,524,4685,50,5.73,5.15,30.0,1,65540.24,31273.56,2862.92,242.32,65540.24,0.6812,0.899,0.0612,5.23,0.0333,3,0.06,0,0,3,0,1
CH04404,가수+댄스+음악,170000,80830000,1229,3707,50,15.71,37.74,248.0,4,57111.7,153026.74,1472.78,66.02,57111.7,0.4347,2.402,0.0408,15.78,0.0,0,0.0,0,0,0,0,1
CH04405,미용+패션,170000,14760000,315,4301,50,17.35,16.69,76.0,8,11877.2,16730.68,180.94,20.96,9936.08,0.6786,0.962,0.1224,4.38,0.0,0,0.0,0,0,0,0,0
CH04406,(미분류),170000,44010000,587,2278,50,3.29,2.71,14.0,0,3164.7,4274.21,32.68,6.34,2605.4,0.7318,0.825,0.0204,4.26,0.0,0,0.0,0,0,0,0,0
CH04407,(미분류),170000,94260000,1726,3104,50,1.61,3.39,19.0,0,111007.62,238207.76,1310.18,92.2,82052.47,0.4491,2.1,0.0408,11.78,0.0,0,0.0,0,0,0,0,0
CH04408,국내+여행+해외,170000,35660000,218,2224,50,7.96,9.1,35.0,1,27856.14,38595.71,448.62,51.98,34620.62,0.6566,1.144,0.1224,4.4,0.0133,1,0.02,0,0,1,0,0
CH04409,(미분류),170000,97350000,1471,3924,50,0.04,0.2,1.0,0,75737.74,205771.99,1053.3,44.1,42384.33,0.9052,0.198,0.0408,1.0,0.0,0,0.0,0,0,0,0,0
CH04410,(미분류),170000,73890000,451,2022,50,0.96,1.52,6.0,0,48450.36,30546.24,457.32,86.86,77277.8,0.5878,1.525,0.0816,6.0,0.02,1,0.02,0,0,1,0,0
CH04411,어린이+키즈,180000,152600000,472,3656,50,10.45,29.58,197.0,3,68699.32,87924.2,834.52,173.3,68699.32,0.4183,2.831,0.0408,18.85,0.0667,4,0.08,0,0,3,1,1
CH04412,TV+방송,180000,12570000,779,4931,50,0.0,0.0,0.0,0,4122.62,10764.82,38.06,3.68,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0
CH04414,BJ+연예인+인물,180000,57390000,437,2523,50,2.96,2.29,11.0,0,34461.02,34375.94,267.1,26.64,36921.04,0.7428,0.775,0.0612,3.72,0.0267,2,0.04,0,0,2,0,0
CH04416,게임,180000,248930000,5138,3050,50,0.16,0.55,3.0,0,48812.7,29268.26,311.22,59.62,48812.7,0.7925,0.548,0.102,3.0,0.0,0,0.0,0,0,0,0,0
CH04417,(미분류),180000,84440000,1794,5147,50,0.22,0.58,3.0,0,3682.42,5428.82,115.08,6.98,7066.44,0.804,0.581,0.0408,3.0,0.0133,1,0.02,0,0,1,0,0
CH04418,국내+여행+해외,180000,13300000,583,2361,50,3.06,4.73,22.0,0,2333.04,4211.04,24.08,6.7,2258.94,0.5524,1.544,0.0816,7.19,0.0467,3,0.06,0,0,2,1,0
CH04419,어린이+키즈,180000,134500000,1213,4811,50,2.96,4.6,23.0,0,32283.18,83942.57,176.66,20.02,7328.67,0.5348,1.555,0.0816,7.77,0.0267,2,0.04,0,0,2,0,0
CH04420,(미분류),180000,173560000,992,2813,50,8.0,16.59,76.0,4,111502.42,231460.95,543.92,89.24,371726.62,0.4586,2.074,0.0612,9.5,0.02,1,0.02,0,0,1,0,0
CH04422,(미분류),180000,53760000,760,1413,50,0.49,1.37,8.0,0,43000.02,39566.64,1043.1,103.14,38725.29,0.5496,1.372,0.0612,8.0,0.0,0,0.0,0,0,0,0,0
CH04424,(미분류),180000,79110000,540,3714,50,1.49,1.83,7.0,0,68204.14,53038.52,787.86,55.52,63857.15,0.6391,1.229,0.1224,4.7,0.0733,5,0.1,0,2,3,0,0
CH04426,(미분류),180000,186360000,2114,2008,50,0.98,1.42,9.0,0,44910.56,26168.48,190.38,86.98,44910.56,0.5228,1.421,0.0408,9.0,0.06,3,0.06,0,0,1,2,0
CH04427,만화+애니+영화,180000,135810000,345,7112,50,7.37,4.31,18.0,0,84353.44,76874.19,907.04,167.64,85741.02,0.7788,0.585,0.1224,2.44,0.0067,1,0.02,0,0,1,0,0
CH04428,미용+패션,180000,23750000,496,4891,50,7.39,4.84,18.0,0,18697.38,4279.59,0.0,53.78,19333.16,0.7714,0.656,0.102,2.44,0.0667,5,0.1,0,0,5,0,0
CH04431,스포츠+운동,180000,37540000,1250,2896,50,1.41,3.53,24.0,0,6625.18,8459.32,20.5,2.08,4297.74,0.4365,2.505,0.0204,17.04,0.0133,1,0.02,0,0,1,0,0
CH04433,TV+방송,180000,6930000,82,3832,50,48.57,84.23,497.0,18,79078.58,102728.62,2780.0,214.88,81148.15,0.4706,1.734,0.0408,10.23,0.0,0,0.0,0,0,0,0,1
CH04434,게임,180000,179250000,4238,3995,50,2.12,2.7,12.0,0,21543.6,22395.11,375.85,26.7,11477.41,0.6197,1.272,0.0816,5.65,0.04,2,0.04,0,0,2,0,0
CH04435,게임,180000,93670000,364,2287,50,29.24,106.69,730.0,7,15480.98,13734.85,158.42,32.84,25380.87,0.3953,3.648,0.0408,24.96,0.0,0,0.0,0,0,0,0,0
CH04436,BJ+연예인+인물,180000,231810000,3969,2184,50,0.43,0.78,3.0,0,27185.04,50157.5,148.26,9.39,14519.37,0.7377,0.782,0.1429,3.0,0.02,1,0.02,0,0,1,0,0
CH04438,(미분류),180000,108450000,491,3370,50,0.82,1.76,6.0,0,23601.0,26404.19,135.96,28.66,61373.67,0.5589,1.757,0.1224,6.0,0.02,1,0.02,0,1,0,0,0
CH04439,(미분류),180000,96000000,997,2475,50,0.71,0.86,2.0,0,84057.96,77450.33,751.08,54.68,63123.2,0.7692,0.857,0.0,2.0,0.0,0,0.0,0,0,0,0,0
CH04440,(미분류),180000,68990000,1714,1035,50,0.65,1.52,6.0,0,4594.48,8874.69,234.48,11.4,3290.38,0.5821,1.519,0.102,6.0,0.0,0,0.0,0,0,0,0,0
CH04441,(미분류),180000,31290000,278,4922,50,10.2,3.42,14.0,0,161428.12,104242.96,4164.46,377.38,161428.12,0.8746,0.335,0.0,1.37,0.0,0,0.0,0,0,0,0,0
CH04442,(미분류),180000,49270000,131,751,50,2.65,2.1,10.0,0,222463.7,231189.26,4834.12,174.46,123414.71,0.7262,0.793,0.102,3.77,0.02,1,0.02,0,0,1,0,0
CH04443,(미분류),180000,205690000,2147,4518,50,0.35,0.52,2.0,0,31824.52,24164.84,110.64,19.78,31824.52,0.8235,0.517,0.0204,2.0,0.04,3,0.06,0,0,3,0,0
CH04444,IT+기술+컴퓨터,180000,79960000,2851,6857,50,1.04,0.95,4.0,0,37537.46,26245.92,325.74,87.37,26845.26,0.7133,0.91,0.0816,3.84,0.0533,3,0.06,0,0,3,0,0
CH04445,라이프+취미,180000,105310000,1519,4316,50,25.92,158.62,1124.0,2,13469.8,9360.11,116.83,17.42,13177.37,0.3641,6.12,0.0204,43.37,0.0,0,0.0,0,0,0,0,1
CH04446,강의+교육,180000,14510000,70,3635,50,29.55,48.24,252.0,14,266911.54,372694.28,5802.78,962.96,266911.54,0.5198,1.632,0.0408,8.53,0.0,0,0.0,0,0,0,0,1
CH04447,TV+방송,180000,71310000,924,3722,50,0.9,1.07,5.0,0,4275.38,4105.35,34.28,0.86,2947.52,0.6595,1.074,0.0816,5.0,0.0,0,0.0,0,0,0,0,1
CH04448,(미분류),180000,99370000,209,4596,50,0.16,0.68,4.0,0,349650.56,766259.42,7435.24,379.8,356494.98,0.7506,0.681,0.0612,4.0,0.0,0,0.0,0,0,0,0,1
CH04449,(미분류),180000,25730000,120,2368,49,9.58,12.41,77.0,2,112799.98,312541.01,2837.78,154.53,112799.98,0.5615,1.295,0.0417,8.03,0.0,0,0.0,0,0,0,0,1
CH04450,(미분류),180000,105250000,2283,7055,50,1.57,2.08,8.0,0,19790.98,65536.68,1033.38,70.52,18539.88,0.6248,1.324,0.102,5.09,0.0,0,0.0,0,0,0,0,0
CH04452,(미분류),180000,30780000,202,1050,50,3.92,2.15,8.0,0,141387.1,216990.43,1958.44,115.62,146595.21,0.8108,0.548,0.0408,2.04,0.0,0,0.0,0,0,0,0,0
CH04453,반려동물+애완,180000,81690000,552,3874,50,31.2,27.89,94.0,21,13686.26,8286.8,345.16,40.5,14723.32,0.7269,0.894,0.1224,3.01,0.0,0,0.0,0,0,0,0,0
CH04454,가수+댄스+음악,180000,28600000,398,7227,50,1.31,2.76,17.0,0,5052.42,7495.38,169.04,6.62,4957.47,0.4485,2.111,0.0408,13.02,0.0,0,0.0,0,0,0,0,1
CH04455,게임,180000,88180000,357,4739,50,16.35,22.48,128.0,7,435627.74,478335.84,6512.74,343.38,430381.51,0.548,1.375,0.0816,7.83,0.1067,8,0.16,0,0,8,0,0
CH04456,어린이+키즈,180000,95630000,540,4513,50,17.39,38.47,216.0,7,16940.54,18038.41,142.52,1.08,18184.93,0.4373,2.212,0.0612,12.42,0.0,0,0.0,0,0,0,0,1
CH04458,가수+댄스+음악,180000,117770000,552,4611,50,13.16,8.65,49.0,2,71812.3,58508.78,1385.1,105.34,76511.43,0.7628,0.657,0.0612,3.72,0.0,0,0.0,0,0,0,0,0
CH04459,게임,180000,107960000,1553,4808,50,1.67,1.65,7.0,0,13032.16,6696.94,92.3,20.62,12235.87,0.6938,0.984,0.0816,4.18,0.04,2,0.04,0,0,2,0,0
CH04460,만화+애니+영화,180000,37150000,324,4713,50,8.59,35.56,242.0,3,495.02,449.05,29.66,2.12,300.3,0.3851,4.139,0.0408,28.17,0.0,0,0.0,0,0,0,0,0
CH04462,(미분류),180000,59030000,634,3483,50,17.51,23.34,113.0,7,60325.38,49967.33,1057.28,118.8,60325.38,0.585,1.333,0.102,6.45,0.0133,1,0.02,0,0,1,0,0
CH04463,(미분류),180000,33750000,186,4572,50,8.37,4.89,19.0,0,125587.3,40885.48,1784.08,203.46,129161.32,0.791,0.585,0.0816,2.27,0.0267,2,0.04,0,0,2,0,0
CH04464,(미분류),180000,121620000,1652,3538,50,0.14,0.35,1.0,0,62709.9,43018.42,1205.98,75.78,60081.77,0.8275,0.35,0.1429,1.0,0.06,3,0.06,0,0,3,0,0
CH04465,가수+댄스+음악,180000,38790000,471,3672,50,0.12,0.33,1.0,0,145314.54,395207.96,396.66,22.44,14976.88,0.8398,0.328,0.1224,1.0,0.0,0,0.0,0,0,0,0,0
CH04466,자동차,180000,166790000,952,5685,50,5.24,5.51,28.0,0,119979.56,437810.99,1471.34,139.39,27750.02,0.6588,1.05,0.0612,5.34,0.0133,1,0.02,0,0,1,0,0
CH04467,레시피+요리+음식,180000,17110000,421,3593,50,21.59,31.59,165.0,7,6177.32,6969.02,152.66,12.32,6177.32,0.5398,1.463,0.102,7.64,0.06,3,0.06,0,0,3,0,1
CH04468,어린이+키즈,180000,184300000,2398,4601,50,0.35,0.48,1.0,0,1081.92,866.36,8.08,0.98,467.72,0.8388,0.476,0.0,1.0,0.0,0,0.0,0,0,0,0,0
CH04469,게임,180000,79600000,548,5079,50,26.96,89.15,546.0,4,16136.16,17171.28,274.44,105.4,17884.67,0.4039,3.307,0.0408,20.25,0.1133,8,0.16,1,0,7,1,1
CH04470,IT+기술+컴퓨터,180000,1950000,2207,3582,50,0.0,0.0,0.0,0,1465.94,1080.67,37.42,0.0,1465.94,1.0,0.0,0.0,0.0,0.08,6,0.12,0,0,6,0,0
CH04471,어린이+키즈,180000,25550000,539,3642,50,2.71,3.89,28.0,0,16819.2,12605.27,189.46,0.74,20159.92,0.4993,1.434,0.0204,10.32,0.0,0,0.0,0,0,0,0,0
CH04472,레시피+요리+음식,180000,64900000,245,4827,50,12.27,15.6,79.0,5,81972.26,35386.92,927.05,111.98,83271.26,0.6096,1.272,0.0408,6.44,0.0,0,0.0,0,0,0,0,1
CH04473,강의+교육,180000,12240000,229,6236,50,24.47,39.09,174.0,11,15009.26,55072.4,580.6,16.82,17990.14,0.5444,1.598,0.102,7.11,0.0,0,0.0,0,0,0,0,0
CH04474,TV+방송,180000,262650000,1956,3651,50,3.37,6.5,30.0,1,56876.84,189759.16,332.28,139.51,56876.84,0.4712,1.931,0.102,8.91,0.04,3,0.06,0,0,3,0,1
CH04475,만화+애니+영화,180000,81030000,3699,4749,50,2.14,1.8,5.0,0,1440.34,3967.03,32.04,4.54,617.79,0.7231,0.838,0.1633,2.33,0.0,0,0.0,0,0,0,0,0
CH04476,(미분류),180000,524170000,2051,2249,50,0.02,0.14,1.0,0,46576.06,38362.06,358.58,45.8,55938.11,0.9319,0.141,0.0204,1.0,0.0,0,0.0,0,0,0,0,0
CH04477,(미분류),180000,31410000,447,3383,50,3.47,4.22,25.0,0,54768.62,107867.01,791.48,10.76,54768.62,0.581,1.216,0.0816,7.21,0.0,0,0.0,0,0,0,0,1
CH04478,어린이+키즈,180000,66450000,166,2609,50,28.0,173.82,1229.0,2,4793.26,2047.97,18.0,0.0,4793.26,0.3632,6.208,0.0204,43.89,0.0,0,0.0,0,0,0,0,1
CH04479,어린이+키즈,180000,220030000,2091,5462,50,4.18,15.86,92.0,2,7193.82,4988.26,39.64,0.0,7193.82,0.3921,3.791,0.0408,21.99,0.0,0,0.0,0,0,0,0,0
CH04480,(미분류),180000,4560000,112,905,50,2.59,7.44,48.0,1,59220.34,120949.02,0.0,50.96,229143.75,0.4169,2.872,0.0408,18.52,0.04,3,0.06,0,0,3,0,0
CH04481,만화+애니+영화,180000,29080000,115,6129,50,41.08,45.28,198.0,20,108580.54,189478.16,1222.98,123.04,111342.77,0.6552,1.102,0.102,4.82,0.0133,1,0.02,0,0,1,0,0
CH04482,미용+패션,180000,30100000,405,4445,50,20.84,26.27,106.0,9,27299.56,37801.27,277.52,14.96,21433.07,0.6187,1.261,0.1429,5.09,0.0267,2,0.04,0,0,2,0,0
CH04483,가수+댄스+음악,180000,21460000,738,4437,50,7.06,15.41,90.0,3,21097.64,31034.38,890.46,87.76,23740.74,0.4387,2.183,0.0612,12.75,0.0133,1,0.02,0,0,1,0,1
CH04484,라이프+취미,180000,51610000,59,3767,50,13.2,17.22,93.0,6,997947.34,2099183.46,8466.76,63532.5,1023368.43,0.5831,1.304,0.0612,7.04,0.0,0,0.0,0,0,0,0,1
CH04485,스포츠+운동,180000,120830000,275,2698,50,3.63,1.0,6.0,0,290055.14,245111.43,2051.58,303.28,290055.14,0.8611,0.276,0.102,1.65,0.02,2,0.04,0,0,2,0,1
CH04486,미용+패션,180000,86330000,477,3042,50,6.73,12.42,65.0,4,51654.9,130129.49,228.96,28.08,59579.15,0.4613,1.844,0.0816,9.65,0.0067,1,0.02,0,0,1,0,0
CH04487,레시피+요리+음식,180000,257910000,801,3293,26,1.84,2.36,6.0,0,1230.23,675.78,5.46,0.38,1183.33,0.6755,1.283,0.12,3.26,0.0,0,0.0,0,0,0,0,0
CH04488,국내+여행+해외,180000,44680000,233,4216,50,18.06,24.92,168.0,6,148513.44,50988.5,4294.9,367.82,148513.44,0.5117,1.38,0.0612,9.3,0.0067,1,0.02,0,0,1,0,1
CH04489,(미분류),180000,49150000,500,2615,50,4.86,4.04,21.0,0,8090.78,12731.89,395.55,13.8,5899.12,0.7168,0.832,0.0612,4.32,0.0,0,0.0,0,0,0,0,0
CH04490,어린이+키즈,180000,5420000,638,2400,50,4.31,10.48,76.0,1,1844.28,4526.86,54.24,0.0,2221.62,0.4395,2.434,0.0204,17.65,0.0,0,0.0,0,0,0,0,1
CH04491,(미분류),180000,24550000,58,1178,50,15.45,11.18,56.0,4,381579.18,243218.26,5447.58,237.12,381579.18,0.7477,0.724,0.0816,3.62,0.0,0,0.0,0,0,0,0,0
CH04492,(미분류),180000,95740000,282,781,50,2.33,1.35,6.0,0,352751.7,121339.0,3371.4,430.62,341899.31,0.7678,0.579,0.1633,2.58,0.06,3,0.06,0,0,3,0,0
CH04493,(미분류),180000,82510000,1381,4020,50,1.12,0.72,2.0,0,156228.82,161844.93,1689.88,198.4,103388.64,0.7437,0.64,0.2041,1.78,0.04,2,0.04,0,0,2,0,0
CH04494,가수+댄스+음악,180000,122920000,776,6203,50,2.37,11.1,79.0,1,16408.18,54373.01,312.78,10.82,17784.0,0.3818,4.689,0.0204,33.37,0.0,0,0.0,0,0,0,0,1
CH04496,레시피+요리+음식,180000,15660000,130,3811,50,38.39,69.48,371.0,13,55372.46,120174.63,1339.08,131.44,59905.25,0.463,1.81,0.0816,9.66,0.0,0,0.0,0,0,0,0,0
CH04497,미용+패션,180000,36740000,126,3766,50,27.73,52.14,336.0,6,488185.24,707363.21,7508.04,258.04,488185.24,0.4553,1.88,0.0612,12.11,0.02,1,0.02,0,0,1,0,1
CH04499,(미분류),180000,330070000,2583,2134,50,0.16,0.47,2.0,0,42345.8,240032.84,545.18,30.7,10535.5,0.8041,0.467,0.1224,2.0,0.0,0,0.0,0,0,0,0,0
CH04501,(미분류),180000,34160000,195,4526,50,3.37,3.01,14.0,0,68320.74,69840.46,2331.32,80.66,79240.98,0.7065,0.893,0.0816,4.16,0.0,0,0.0,0,0,0,0,0
CH04502,(미분류),180000,38310000,127,689,50,1.9,2.16,7.0,0,357086.88,280449.33,3720.34,162.7,432390.33,0.6897,1.138,0.0816,3.69,0.0133,1,0.02,0,0,1,0,0
CH04503,(미분류),180000,120950000,433,733,50,0.92,2.26,16.0,0,224178.46,195260.06,6644.56,327.22,162939.9,0.4474,2.257,0.0204,16.0,0.0333,2,0.04,0,0,2,0,0
CH04504,라이프+취미,180000,51670000,407,3938,50,22.78,72.07,366.0,6,10021.82,10474.69,332.76,15.32,15188.2,0.4078,3.164,0.0408,16.07,0.0,0,0.0,0,0,0,0,1
CH04505,미용+패션,180000,18760000,185,3456,50,11.69,11.76,47.0,4,27732.26,29976.45,409.9,26.78,32028.91,0.6957,1.006,0.0816,4.02,0.0333,3,0.06,0,0,3,0,0
CH04507,(미분류),180000,98890000,861,3048,50,10.57,26.1,166.0,4,25305.62,28915.36,196.68,24.68,14133.2,0.4258,2.469,0.0612,15.7,0.0,0,0.0,0,0,0,0,0
CH04508,(미분류),180000,91940000,583,2670,50,0.71,0.67,3.0,0,121312.0,24009.15,8586.4,183.02,121335.8,0.7749,0.67,0.0816,3.0,0.0133,1,0.02,0,0,1,0,0
CH04509,(미분류),180000,124280000,2214,998,50,0.18,0.75,4.0,0,98857.98,221540.97,845.66,79.9,100583.9,0.7393,0.747,0.0612,4.0,0.0,0,0.0,0,0,0,0,1
CH04510,(미분류),180000,245200000,265,1583,50,0.0,0.0,0.0,0,4240.7,5535.09,78.9,8.76,3788.25,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0
CH04511,(미분류),180000,173380000,303,4924,50,6.73,0.8,10.0,0,153792.02,217096.03,1181.72,25.72,70083.62,0.9223,0.119,0.0816,1.48,0.0,0,0.0,0,0,0,0,0
CH04515,(미분류),180000,71020000,3726,4948,50,0.16,0.47,2.0,0,2460.5,3360.39,113.96,7.3,4215.33,0.8041,0.467,0.1224,2.0,0.0,0,0.0,0,0,0,0,0
CH04516,(미분류),180000,46250000,290,2393,50,3.71,3.68,15.0,0,63569.18,133658.16,602.74,36.32,19327.0,0.6971,0.99,0.0816,4.04,0.02,2,0.04,0,0,2,0,0
CH04517,(미분류),180000,180930000,77,2265,50,18.22,31.63,144.0,10,104785.4,269391.76,1964.46,34.82,11266.7,0.5121,1.736,0.102,7.9,0.0,0,0.0,0,0,0,0,1
CH04519,(미분류),180000,24710000,158,2645,50,7.67,12.73,61.0,4,31802.14,48332.47,879.48,41.68,41568.86,0.5222,1.659,0.0816,7.95,0.0133,1,0.02,0,0,1,0,0
CH04520,(미분류),180000,202320000,3380,2719,50,0.35,0.48,1.0,0,67185.84,24826.05,1219.28,296.22,67185.84,0.8388,0.476,0.0,1.0,0.04,3,0.06,0,0,3,0,0
CH04521,스포츠+운동,180000,138430000,781,4875,50,2.1,1.57,8.0,0,89617.86,165654.68,523.58,43.84,45213.58,0.7572,0.746,0.0204,3.81,0.0133,1,0.02,0,0,1,0,0
CH04523,(미분류),180000,64110000,4003,5556,50,0.22,0.54,3.0,0,50544.9,168293.75,495.66,18.92,111195.8,0.8176,0.545,0.0204,3.0,0.0,0,0.0,0,0,0,0,0
CH04524,(미분류),180000,65580000,462,1090,50,2.12,5.4,35.0,1,96270.16,258840.77,918.66,57.42,176771.13,0.4226,2.546,0.0612,16.49,0.02,2,0.04,0,0,2,0,0
CH04525,(미분류),180000,116890000,1099,3476,50,6.0,1.83,10.0,0,46265.56,36980.78,1203.22,52.2,46265.56,0.8219,0.305,0.2041,1.67,0.0,0,0.0,0,0,0,0,0
CH04526,(미분류),180000,98450000,593,2445,50,2.78,5.53,37.0,1,113978.78,137406.91,2770.4,104.08,101933.98,0.4548,1.992,0.0408,13.33,0.0,0,0.0,0,0,0,0,0
CH04527,(미분류),180000,16640000,301,924,50,1.61,2.9,18.0,0,77721.4,147013.59,2088.2,74.5,86565.19,0.4665,1.798,0.0408,11.16,0.0133,1,0.02,0,0,1,0,0
CH04528,(미분류),180000,272410000,583,584,50,0.18,0.48,2.0,0,1027533.08,1772551.63,12491.82,96.94,249158.0,0.7947,0.481,0.1429,2.0,0.0,0,0.0,0,0,0,0,0
CH04529,(미분류),180000,68710000,1050,1562,50,8.14,9.72,48.0,3,144724.3,170331.3,1925.14,287.62,141514.38,0.6268,1.194,0.0612,5.89,0.0,0,0.0,0,0,0,0,0
CH04530,(미분류),180000,132990000,2068,3474,50,0.96,0.99,4.0,0,77390.1,73671.38,730.55,125.34,78576.84,0.7045,0.989,0.0612,4.0,0.1333,8,0.16,0,0,8,0,0
CH04531,(미분류),180000,149130000,2278,4509,50,1.24,1.58,6.0,0,69255.22,76995.76,728.36,135.56,59598.67,0.6374,1.273,0.102,4.82,0.0,0,0.0,0,0,0,0,0
CH04532,(미분류),180000,168050000,3949,2368,50,0.0,0.0,0.0,0,28117.78,23581.52,263.24,55.54,29166.48,1.0,0.0,0.0,0.0,0.0733,5,0.1,0,0,4,1,0
CH04533,게임,190000,144760000,931,4898,50,21.59,82.91,592.0,4,26994.92,32401.04,508.46,44.4,25165.26,0.3972,3.84,0.0204,27.42,0.02,1,0.02,0,0,1,0,1
CH04534,미용+패션,190000,81620000,988,4148,50,2.88,2.39,9.0,0,15439.44,27820.56,239.34,13.74,8624.5,0.739,0.83,0.102,3.13,0.0,0,0.0,0,0,0,0,0
CH04535,미용+패션,190000,26940000,161,4267,50,9.51,8.67,35.0,1,137193.1,357078.5,3850.24,72.9,141659.0,0.7237,0.912,0.0612,3.68,0.0,0,0.0,0,0,0,0,0
CH04536,BJ+연예인+인물,190000,34330000,861,4277,50,38.35,61.19,246.0,17,145243.14,311502.03,3633.58,174.1,176610.59,0.5644,1.596,0.102,6.42,0.0,0,0.0,0,0,0,0,1
CH04537,가수+댄스+음악,190000,47520000,246,3604,50,24.22,46.15,223.0,13,99491.3,105774.36,0.0,248.98,108833.62,0.4764,1.905,0.0612,9.21,0.0067,1,0.02,0,0,1,0,1
CH04538,가수+댄스+음악,190000,4550000,210,4940,50,3.65,5.83,38.0,1,3217.46,6535.76,29.48,5.06,3217.46,0.4864,1.597,0.0204,10.4,0.04,2,0.04,0,0,2,0,1
CH04539,가수+댄스+음악,190000,175970000,899,5143,50,4.22,7.94,49.0,1,77544.86,274816.34,400.92,25.28,441418.62,0.4491,1.88,0.0816,11.6,0.0,0,0.0,0,0,0,0,0
CH04540,TV+방송,190000,37330000,2846,4048,50,0.06,0.24,1.0,0,30104.68,39442.36,1256.24,68.58,6280.73,0.8849,0.24,0.0612,1.0,0.0,0,0.0,0,0,0,0,0
CH04541,(미분류),190000,51580000,523,2591,50,8.65,5.62,28.0,0,28108.28,21041.85,402.52,109.08,28575.16,0.7719,0.649,0.0816,3.24,0.0067,1,0.02,0,0,1,0,0
CH04542,(미분류),190000,56760000,291,2560,50,10.16,18.84,130.0,2,138940.24,165686.67,4232.16,189.84,149711.67,0.463,1.854,0.0408,12.79,0.1067,7,0.14,0,0,8,0,0
CH04543,(미분류),190000,26810000,127,2675,50,20.08,28.36,150.0,5,147896.48,191837.21,5708.14,532.3,150412.39,0.5612,1.412,0.0612,7.47,0.0,0,0.0,0,0,0,0,0
CH04544,(미분류),190000,71920000,425,2140,50,6.51,0.73,8.0,0,79968.4,78692.07,2535.22,141.98,79968.4,0.9066,0.112,0.1429,1.23,0.0333,2,0.04,0,0,2,0,0
CH04545,(미분류),190000,110530000,505,1515,50,5.49,12.84,93.0,1,134202.36,138638.78,3941.22,148.52,136107.05,0.4436,2.339,0.0204,16.94,0.0,0,0.0,0,0,0,0,1
CH04546,가수+댄스+음악,190000,114850000,564,4914,50,2.53,3.23,18.0,0,17755.62,7938.21,1213.18,19.68,13220.25,0.5839,1.275,0.0612,7.11,0.0,0,0.0,0,0,0,0,0
CH04548,TV+방송,190000,27890000,95,3205,50,12.82,15.28,89.0,4,169875.96,320878.57,2806.42,346.96,169875.96,0.597,1.192,0.0612,6.94,0.0,0,0.0,0,0,0,0,1
CH04550,어린이+키즈,190000,149440000,1078,7495,50,0.65,0.77,3.0,0,5054.46,3235.42,12.0,0.0,4197.4,0.7518,0.771,0.102,3.0,0.0,0,0.0,0,0,0,0,0
CH04551,(미분류),190000,48360000,145,1452,50,1.73,2.27,11.0,0,259195.76,411844.62,2532.54,54.04,197165.06,0.5969,1.306,0.0816,6.34,0.0267,2,0.04,0,0,2,0,0
CH04552,(미분류),190000,143670000,1602,4917,50,0.61,1.87,12.0,0,21185.0,47760.65,316.76,31.26,16162.92,0.4619,1.872,0.0408,12.0,0.0133,1,0.02,0,0,1,0,0
CH04553,(미분류),190000,388670000,651,465,50,0.2,0.53,3.0,0,360670.28,144202.1,7409.78,168.16,326264.87,0.8199,0.534,0.0204,3.0,0.06,3,0.06,0,0,2,1,0
CH04554,게임,190000,74080000,1102,6070,50,3.51,5.02,22.0,0,23359.54,75099.06,192.82,7.54,23842.0,0.594,1.431,0.0612,6.27,0.0733,4,0.08,0,0,4,0,0
CH04555,게임,190000,57610000,566,4136,50,4.76,12.97,93.0,1,16930.7,35916.19,244.28,39.68,16930.7,0.428,2.728,0.0204,19.56,0.0333,2,0.04,0,0,2,0,1
