channel_id,n_videos,n_comments,net_sentiment_score,pos_ratio,neu_ratio,neg_ratio,like_weighted_nss,loyalty_score,churn_warning_score,polarization_score,avg_comment_len,emoji_ratio,laugh_ratio,cry_ratio,question_ratio
UCgsgpELbaTiGjCHIjHVF8uQ,10,449,0.2584,0.5234,0.2116,0.265,-0.0679,0.0275,0.0015,0.5549,44.26,0.1871,0.167,0.0178,0.1269
UCguzIEj_YJl_z7X89mJ03ow,7,350,0.4657,0.6571,0.1514,0.1914,0.1542,0.0619,0.0019,0.5032,69.63,0.1829,0.1629,0.0571,0.1257
UChG9l7xHgT4Ilb-mpJK6V2A,9,450,0.0333,0.44,0.1533,0.4067,-0.0354,0.0356,0.0104,0.7157,43.1,0.0289,0.1533,0.0644,0.08
UChLGxPXbXU_xIxTfTTMGn5g,10,93,0.0645,0.4086,0.2473,0.3441,0.0642,0.0215,0.0072,0.5624,27.49,0.1505,0.2581,0.0215,0.1075
UChXOKeqCxhM3AjyNb7rAAOw,10,372,0.5995,0.7366,0.1263,0.1371,0.6028,0.0833,0.0,0.4039,44.74,0.1452,0.1586,0.0349,0.0753
UChg51lDUTR_8zWeNewdxaNw,10,500,0.712,0.794,0.124,0.082,0.4948,0.1173,0.0,0.2604,43.72,0.276,0.22,0.034,0.032
UChv_AhkfYyQ2IXYQbKsUWsw,10,500,-0.004,0.4,0.196,0.404,-0.2199,0.0193,0.0,0.6464,32.87,0.088,0.366,0.008,0.066
UCiWl6Wtj3PBHvFf2RSA9N2w,8,400,0.7175,0.7975,0.1225,0.08,0.7404,0.0325,0.0,0.2552,38.48,0.6525,0.0975,0.025,0.065
UCiii7jUcdg1rcHLKuNzsfnw,10,459,0.2593,0.5229,0.2135,0.2636,0.1759,0.032,0.0,0.5514,39.07,0.0937,0.1155,0.0458,0.0675
UCixaWz4xXA_mJg8UhOZ6hkQ,10,500,0.588,0.712,0.164,0.124,-0.0319,0.076,0.0033,0.3532,40.41,0.056,0.16,0.06,0.11
UCj1RW5MrOLh_VrX3yHF_yow,10,149,0.2819,0.4765,0.3289,0.1946,0.3528,0.0403,0.0022,0.371,28.03,0.0872,0.094,0.0134,0.1208
UCjBMozaocv9AYsGRVqUVImQ,8,400,0.67,0.7925,0.085,0.1225,0.424,0.0633,0.0,0.3883,49.89,0.28,0.355,0.13,0.08
UCjHn_Os5NoCXZyoXzuKth9w,10,500,0.326,0.522,0.282,0.196,0.2142,0.0353,0.0,0.4092,52.84,0.058,0.096,0.016,0.076
UCjwARif8DDcHno_X1aLbnFA,10,489,0.6483,0.7628,0.1227,0.1145,0.5136,0.0586,0.0041,0.3494,38.09,0.3272,0.1513,0.1391,0.0695
UCkHOzpdLbN6HXYGJZ_wlmYw,10,500,-0.172,0.344,0.14,0.516,-0.2861,0.1007,0.0033,0.71,63.61,0.072,0.092,0.012,0.16
UCkjk77yUtLnuSalpGrlrG2Q,6,8,0.375,0.625,0.125,0.25,0.4118,0.0417,0.0,0.625,25.0,0.375,0.125,0.0,0.125
UCl402YYy7RcH7PBI3npmGPQ,9,439,0.18,0.4624,0.2551,0.2825,-0.0274,0.0319,0.0,0.5225,29.03,0.0615,0.1344,0.0319,0.0661
UClDDqUHkTuGrACrC7Vg1qDw,10,500,0.604,0.764,0.076,0.16,0.0963,0.07,0.0013,0.489,72.39,0.444,0.136,0.138,0.084
UClHUx_fmIGEIuLhyIPgue9Q,10,491,0.4358,0.6619,0.112,0.2261,-0.1735,0.0434,0.0014,0.5986,36.61,0.2444,0.2057,0.1752,0.0815
UClSxH8KQdfytf2raNAByMiA,6,13,0.3846,0.5385,0.3077,0.1538,0.5,0.0,0.0,0.3314,12.92,0.1538,0.0,0.0,0.0
UCmPHhKCcgj0QcxM9C4OTTbA,10,150,0.22,0.3933,0.4333,0.1733,0.1889,0.0689,0.0,0.2727,44.88,0.0467,0.06,0.0333,0.2267
UCmblbE_WxTaFWcMEGFJ_97w,10,500,0.63,0.746,0.138,0.116,0.4778,0.036,0.0,0.3461,29.81,0.21,0.28,0.028,0.04
UCmpJ1DrrN84EDYSAIHCHTUQ,10,149,0.5101,0.6779,0.1544,0.1678,0.3852,0.1096,0.0045,0.4549,42.33,0.2483,0.2013,0.0671,0.1007
UCmxDK1eWo-KvQQJ23p95XGw,10,500,0.42,0.632,0.156,0.212,0.3234,0.032,0.0013,0.5359,33.36,0.176,0.198,0.122,0.05
UCn9mJ4htO64-1osMWYu9k5Q,9,425,0.1247,0.4306,0.2635,0.3059,0.123,0.0149,0.0,0.5268,42.31,0.0847,0.2165,0.0141,0.0941
UCnWA2-rBdcb9P-Y06s_sw1A,1,50,0.38,0.6,0.18,0.22,0.0041,0.04,0.0,0.528,53.4,0.08,0.06,0.12,0.04
UCnnJ34afyg9w25I_AVZIHxA,10,298,0.6409,0.7483,0.1443,0.1074,0.7496,0.104,0.0,0.3214,105.42,0.3591,0.0403,0.0369,0.094
UCnql10Qk6jSxlbGW-PAwT6g,10,98,-0.2041,0.3469,0.102,0.551,-0.0333,0.0646,0.0,0.7647,54.63,0.0612,0.0204,0.0204,0.1735
UCoC-ZGuPCvJJrbcz9eMW8zw,10,500,0.186,0.546,0.094,0.36,0.1114,0.036,0.0007,0.7862,89.59,0.106,0.158,0.11,0.154
UCoppgM9wcJl6Yys08-MOeGg,10,500,0.528,0.75,0.028,0.222,0.7241,0.068,0.0013,0.666,79.58,0.268,0.052,0.112,0.102
UCoxT1kQSLq564FwpK473w-g,10,492,-0.2683,0.252,0.2276,0.5203,-0.5907,0.0136,0.0,0.5246,55.61,0.0711,0.0996,0.0122,0.1098
UCoyogo_Fg-Z5jDOQz6Rt6eA,10,369,0.4607,0.6423,0.1762,0.1816,0.357,0.1364,0.0036,0.4665,56.61,0.1626,0.084,0.0542,0.1138
UCpXMHgjrpnynDSV5mXpqImw,10,286,0.3671,0.5734,0.2203,0.2063,0.4109,0.0058,0.0,0.4732,66.76,0.2867,0.0035,0.0,0.0979
UCpcmIvl6WKxMChDaCIV5EPw,7,33,0.4545,0.5758,0.303,0.1212,0.5238,0.0,0.0,0.2792,16.67,0.5455,0.0,0.0,0.0303
UCpfeuRWA3AMVRjDiBH7MlQQ,10,370,0.673,0.7649,0.1432,0.0919,0.6563,0.0901,0.0009,0.2811,83.17,0.6135,0.0865,0.0514,0.1
UCpmfh1rT8g_2eiExfhvEgQQ,10,500,0.72,0.83,0.06,0.11,0.8753,0.0227,0.0,0.3652,39.13,0.332,0.198,0.046,0.04
UCpr6myhYutFfsViTGFgV6qg,10,465,0.1462,0.372,0.4022,0.2258,-0.055,0.0416,0.0007,0.336,29.8,0.0925,0.0495,0.0473,0.2129
UCqOmWSVk2LChbt15-Ie2tiw,10,432,0.8148,0.875,0.0648,0.0602,0.893,0.1211,0.0023,0.2106,58.66,0.2894,0.0602,0.0208,0.088
UCqdpJERE1l0J-mSIYsrDUmw,10,377,0.6525,0.7268,0.1989,0.0743,0.7816,0.0265,0.0,0.2159,46.39,0.565,0.0424,0.0106,0.0796
UCqsPmfRMm0AGTF3mw1VtCnw,10,484,0.3595,0.6116,0.1364,0.2521,0.1833,0.031,0.0,0.6166,33.92,0.0971,0.2665,0.064,0.0764
UCquCOGattLleH5erOxiWVmQ,10,500,0.574,0.734,0.106,0.16,0.178,0.0187,0.0,0.4698,55.07,0.488,0.0,0.03,0.03
UCrEhjhZS6XUaZQ0_xgKPkRQ,10,381,0.706,0.8058,0.0945,0.0997,-0.1026,0.0787,0.0035,0.3215,54.24,0.378,0.147,0.2572,0.0787
UCrf5zJvtOoZkIviA3IZNPGA,10,500,0.69,0.812,0.066,0.122,0.7377,0.014,0.002,0.3963,54.46,0.582,0.088,0.036,0.044
UCrjVVhXZjmylRHEKvie-rWQ,10,381,0.5013,0.7034,0.0945,0.2021,0.6451,0.0516,0.0,0.5686,61.25,0.2493,0.0709,0.1181,0.0709
UCs0dIu9USYQnSyPcekI8Y6A,10,275,0.7018,0.7745,0.1527,0.0727,0.707,0.0521,0.0,0.2253,51.71,0.5818,0.1091,0.1055,0.1055
UCsU2RlGgybcLzfmBqnTx-Rw,10,173,0.4046,0.6012,0.2023,0.1965,0.376,0.0308,0.0,0.4726,27.63,0.2023,0.289,0.0809,0.0751
UCsXigGjbC_l4ttk-oahTfVg,10,439,0.5854,0.7039,0.1777,0.1185,0.5262,0.0273,0.0,0.3335,45.06,0.4282,0.0251,0.0547,0.0251
UCs_i4xBbg5IgHpmfMta-UBA,10,69,0.1594,0.3333,0.4928,0.1739,0.2255,0.0338,0.0,0.2319,31.86,0.1304,0.0435,0.0725,0.3333
UCsaQlcW1DX-UYpozEwBUDzQ,10,236,0.7797,0.8602,0.0593,0.0805,0.7733,0.0734,0.0014,0.277,59.43,0.5212,0.1653,0.161,0.1102
UCse0BZUEgpbPyyt-S9iqttw,10,100,0.57,0.65,0.27,0.08,0.5968,0.17,0.0,0.208,47.9,0.3,0.02,0.04,0.29
UCszHZ71AULzNmN9b4kNPeaA,10,189,0.2857,0.4815,0.3228,0.1958,0.2164,0.0564,0.0018,0.377,47.37,0.2011,0.0635,0.1693,0.2751
UCtkO3Stab5a1ujE1dObRKrQ,10,500,0.692,0.8,0.092,0.108,0.4393,0.1053,0.0,0.3456,56.38,0.274,0.198,0.02,0.056
UCuSaFvVbK9QpZlbn8Vf34RA,9,279,0.2186,0.5161,0.1864,0.2975,0.3797,0.0406,0.0012,0.6142,31.93,0.0789,0.2652,0.1183,0.0896
UCuTKrQEt651z729A9-S8hZw,10,408,0.5686,0.674,0.2206,0.1054,0.852,0.0408,0.0,0.2841,45.05,0.4044,0.0172,0.0539,0.0613
UCv1JYvsu-__rGWRE2ueYTcw,10,455,0.6022,0.7297,0.1429,0.1275,0.5644,0.0212,0.0,0.3721,43.49,0.4659,0.0571,0.2813,0.0484
UCw-HcGlT9V7ErYfoAPvem4A,10,500,0.082,0.458,0.166,0.376,-0.0726,0.0187,0.0,0.6888,38.41,0.368,0.008,0.084,0.052
UCwTHUixtkE6UOZbGcAKfF6g,10,500,0.642,0.772,0.098,0.13,0.5565,0.042,0.0,0.4014,76.16,0.26,0.096,0.098,0.064
UCwvuDW6OjHyAcQUms9X31dg,10,120,0.4833,0.6667,0.15,0.1833,0.4541,0.1083,0.0,0.4889,37.66,0.2083,0.075,0.0333,0.1167
UCxIHfMfo3KQHGdXu6DAAmgg,10,161,0.1304,0.4037,0.323,0.2733,-0.241,0.0393,0.0,0.4413,41.81,0.1491,0.1491,0.0994,0.0994
UCxQXvvaqwA2NzPXs5775ogw,10,481,0.6008,0.7443,0.1123,0.1435,0.597,0.0561,0.0,0.4271,34.69,0.289,0.395,0.0582,0.0541
UCxYYbzOCCeFwAl80gDJjaag,10,391,0.4322,0.624,0.1841,0.1918,0.4154,0.0068,0.0,0.4788,37.44,0.2404,0.0665,0.0153,0.0767
UCxZycAwmbO0J_ei9UJ_1udg,9,233,0.7253,0.8069,0.1116,0.0815,0.7413,0.0529,0.0,0.2632,56.86,0.5536,0.0343,0.0687,0.0601
UCy--DSUG5drM6PVL3bpESfg,10,62,0.5806,0.6774,0.2258,0.0968,0.4246,0.0161,0.0,0.2622,40.84,0.1935,0.0968,0.0484,0.2258
UCy-swBYpRZx7KW11FStjTgw,10,364,0.2253,0.5357,0.1538,0.3104,0.3422,0.0201,0.0,0.6652,32.06,0.2115,0.1951,0.0247,0.0907
UCy5CDpZBPxd9O20BnIt8YWg,8,79,0.2405,0.4937,0.2532,0.2532,0.2171,0.0127,0.0,0.4999,47.48,0.1519,0.0,0.0,0.0886
UCyIxod7xVzs-7QPhTE7yazg,10,467,0.6253,0.7452,0.1349,0.1199,0.7798,0.0628,0.015,0.3574,48.99,0.1777,0.2398,0.1627,0.1006
UCyi9eZCavFN5P6GQVokRiQg,10,500,-0.1,0.36,0.18,0.46,-0.377,0.0313,0.0,0.6624,106.2,0.02,0.182,0.014,0.138
UCysSC6UjONpWKMbBupJZjpg,10,418,0.5742,0.7177,0.1388,0.1435,0.5388,0.0359,0.0048,0.4121,56.88,0.3756,0.1627,0.1196,0.1507
UCyt7xvgOZN5i2U4yUFHpr-A,8,37,0.7297,0.8108,0.1081,0.0811,0.7705,0.027,0.0,0.263,47.89,0.5676,0.0541,0.0,0.0541
UCz11CPccQ2AnizJrdp58Bog,10,500,0.824,0.886,0.052,0.062,0.7503,0.1713,0.0,0.2197,46.74,0.58,0.054,0.046,0.066
UCzRDCwJdqSSRwI4BgojVkIw,10,500,0.486,0.68,0.126,0.194,0.4433,0.0307,0.0,0.5277,31.06,0.116,0.338,0.098,0.042
